"","Name","cluster"
"327","2'-Deoxyinosine",8.31705
"328","2-Aminoadipate",1.60516
"329","2-Aminoadipate",1.60516
"330","2-Aminoadipate",1.60516
"331","2-Aminoadipate",1.60516
"332","2-Aminoadipate",1.60516
"333","2-Aminoadipate",1.60516
"334","2-Aminoadipate",1.60516
"335","2-Aminoadipate",1.60516
"336","2-Aminoadipate",1.60516
"337","2-Aminoadipate",1.60516
"338","2-Aminoadipate",1.60516
"339","2-Aminoadipate",1.60516
"340","2-Aminoadipate",1.60516
"341","2-Aminoadipate",1.60516
"342","2-Aminoadipate",1.60516
"343","2-Aminoadipate",1.60516
"344","2-Aminoadipate",1.60516
"345","2-Aminoadipate",1.60516
"346","2-Aminoadipate",1.60516
"347","2-Aminoadipate",1.60516
"348","2-Aminoadipate",1.60516
"349","2-Aminoadipate",1.60516
"350","2-Aminoadipate",1.60516
"351","2-Aminoadipate",1.60516
"352","2-Aminoadipate",1.60516
"353","2-Aminoadipate",1.60516
"354","2-Aminoadipate",1.60516
"355","2-Aminoadipate",1.60516
"356","2-Aminoadipate",1.60516
"357","2-Aminoadipate",1.60516
"358","2-Aminoadipate",1.60516
"359","2-Aminoadipate",1.60516
"360","2-Aminoadipate",1.6498
"361","2-Aminoadipate",1.6498
"362","2-Aminoadipate",1.6498
"363","2-Aminoadipate",1.6498
"364","2-Aminoadipate",1.6498
"365","2-Aminoadipate",1.6498
"366","2-Aminoadipate",1.6498
"367","2-Aminoadipate",1.6498
"368","2-Aminoadipate",1.6498
"369","2-Aminoadipate",1.6498
"370","2-Aminoadipate",1.6498
"371","2-Aminoadipate",1.6498
"372","2-Aminoadipate",1.6498
"373","2-Aminoadipate",1.6498
"374","2-Aminoadipate",1.6498
"375","2-Aminoadipate",1.6498
"376","2-Aminoadipate",1.6498
"377","2-Aminoadipate",1.6498
"378","2-Aminoadipate",1.6498
"379","2-Aminoadipate",1.6498
"380","2-Aminoadipate",1.6498
"381","2-Aminoadipate",1.6498
"382","2-Aminoadipate",1.6498
"383","2-Aminoadipate",1.6498
"384","2-Aminoadipate",1.6498
"385","2-Aminoadipate",1.6498
"386","2-Aminoadipate",1.6498
"387","2-Aminoadipate",1.6498
"388","2-Aminoadipate",1.6498
"389","2-Aminoadipate",1.6498
"390","2-Aminoadipate",1.6498
"391","2-Aminoadipate",1.6498
"392","2-Aminoadipate",1.81922
"393","2-Aminoadipate",1.81922
"394","2-Aminoadipate",1.81922
"395","2-Aminoadipate",1.81922
"396","2-Aminoadipate",1.81922
"397","2-Aminoadipate",1.81922
"398","2-Aminoadipate",1.81922
"399","2-Aminoadipate",1.81922
"400","2-Aminoadipate",1.81922
"401","2-Aminoadipate",1.81922
"402","2-Aminoadipate",1.81922
"403","2-Aminoadipate",1.81922
"404","2-Aminoadipate",1.81922
"405","2-Aminoadipate",1.81922
"406","2-Aminoadipate",1.81922
"407","2-Aminoadipate",1.81922
"408","2-Aminoadipate",1.88272
"409","2-Aminoadipate",1.88272
"410","2-Aminoadipate",1.88272
"411","2-Aminoadipate",1.88272
"412","2-Aminoadipate",1.88272
"413","2-Aminoadipate",1.88272
"414","2-Aminoadipate",1.88272
"415","2-Aminoadipate",1.88272
"416","2-Aminoadipate",1.88272
"417","2-Aminoadipate",1.88272
"418","2-Aminoadipate",1.88272
"419","2-Aminoadipate",1.88272
"420","2-Aminoadipate",1.88272
"421","2-Aminoadipate",1.88272
"422","2-Aminoadipate",1.88272
"423","2-Aminoadipate",1.88272
"424","2-Aminoadipate",2.23428
"425","2-Aminoadipate",2.23428
"426","2-Aminoadipate",2.23428
"427","2-Aminoadipate",2.23428
"428","2-Aminoadipate",2.23428
"429","2-Aminoadipate",2.23428
"430","2-Aminoadipate",2.23428
"431","2-Aminoadipate",2.23428
"432","2-Aminoadipate",2.23428
"433","2-Aminoadipate",2.23428
"434","2-Aminoadipate",2.23428
"435","2-Aminoadipate",2.23428
"436","2-Aminoadipate",2.23428
"437","2-Aminoadipate",2.23428
"438","2-Aminoadipate",2.23428
"439","2-Aminoadipate",2.23428
"440","2-Aminoadipate",3.73097
"441","2-Aminoadipate",3.73097
"442","2-Aminoadipate",3.73097
"443","2-Aminoadipate",3.73097
"444","2-Aminobutyrate",0.96765
"445","2-Aminobutyrate",0.96765
"446","2-Aminobutyrate",0.96765
"447","2-Aminobutyrate",0.96765
"448","2-Aminobutyrate",1.88724
"449","2-Aminobutyrate",1.88724
"450","2-Aminobutyrate",1.88724
"451","2-Aminobutyrate",1.88724
"452","2-Aminobutyrate",1.88724
"453","2-Aminobutyrate",1.88724
"454","2-Aminobutyrate",1.88724
"455","2-Aminobutyrate",1.88724
"456","2-Aminobutyrate",1.88724
"457","2-Aminobutyrate",1.88724
"458","2-Aminobutyrate",1.88724
"459","2-Aminobutyrate",1.88724
"460","2-Aminobutyrate",1.88724
"461","2-Aminobutyrate",1.88724
"462","2-Aminobutyrate",1.88724
"463","2-Aminobutyrate",1.88724
"464","2-Aminobutyrate",1.88724
"465","2-Aminobutyrate",1.88724
"466","2-Aminobutyrate",1.88724
"467","2-Aminobutyrate",1.88724
"468","2-Aminobutyrate",1.88724
"469","2-Aminobutyrate",1.88724
"470","2-Aminobutyrate",1.88724
"471","2-Aminobutyrate",1.88724
"472","2-Aminobutyrate",1.88724
"473","2-Aminobutyrate",1.88724
"474","2-Aminobutyrate",1.88724
"475","2-Aminobutyrate",1.88724
"476","2-Aminobutyrate",1.88724
"477","2-Aminobutyrate",1.88724
"478","2-Aminobutyrate",1.88724
"479","2-Aminobutyrate",1.88724
"480","2-Aminobutyrate",3.70678
"481","2-Aminobutyrate",3.70678
"482","2-Aminobutyrate",3.70678
"483","2-Aminobutyrate",3.70678
"484","2-Ethylacrylate",0.99796
"485","2-Ethylacrylate",0.99796
"486","2-Ethylacrylate",0.99796
"487","2-Ethylacrylate",2.23879
"488","2-Ethylacrylate",2.23879
"489","2-Ethylacrylate",2.23879
"490","2-Ethylacrylate",2.23879
"491","2-Ethylacrylate",2.23879
"492","2-Ethylacrylate",2.23879
"493","2-Ethylacrylate",2.23879
"494","2-Ethylacrylate",2.23879
"495","2-Ethylacrylate",2.23879
"496","2-Ethylacrylate",2.23879
"497","2-Ethylacrylate",2.23879
"498","2-Ethylacrylate",2.23879
"499","2-Ethylacrylate",2.23879
"500","2-Ethylacrylate",2.23879
"501","2-Ethylacrylate",2.23879
"502","2-Ethylacrylate",2.23879
"503","2-Ethylacrylate",5.24362
"504","2-Ethylacrylate",5.24362
"505","2-Ethylacrylate",5.24362
"506","2-Ethylacrylate",5.24362
"507","2-Ethylacrylate",5.24362
"508","2-Ethylacrylate",5.24362
"509","2-Ethylacrylate",5.57172
"510","2-Ethylacrylate",5.57172
"511","2-Ethylacrylate",5.57172
"512","2-Ethylacrylate",5.57172
"513","2-Ethylacrylate",5.57172
"514","2-Ethylacrylate",5.57172
"515","2-Hydroxy-3-methylvalerate",0.86471
"516","2-Hydroxy-3-methylvalerate",0.86471
"517","2-Hydroxy-3-methylvalerate",0.86471
"518","2-Hydroxy-3-methylvalerate",0.86471
"519","2-Hydroxy-3-methylvalerate",0.93137
"520","2-Hydroxy-3-methylvalerate",0.93137
"521","2-Hydroxy-3-methylvalerate",1.14937
"522","2-Hydroxy-3-methylvalerate",1.14937
